Project Full Code,Activity Name,Quantity,Input Type,Section,Drilled Meters
P5044,P5044 ‣ Vibro Compaction ‣ 0,15,Actual,0,195
P5009,P5009 ‣ Deep Well Installation ‣ 0,1,Actual,10/11/2012,66
P4110,P4110 ‣ Deep Well Installation ‣ 0,7,Actual,0,186
P4110,P4110 ‣ Deep Well Installation ‣ 0,6,Actual,0,92
P4110,P4110 ‣ Deep Well Installation ‣ 0,1,Actual,0,114
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Actual,,54
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,4,Actual,,72
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Actual,0,64
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Actual,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Actual,,
P441,P441 ‣ Guide Wall ‣ 1,31,Actual,,
P441,P441 ‣ Mobilization ‣ 0,1,Actual,,
P5004-72-S,P5004-72-S ‣ Soldier Pile (H. Beams) ‣ 0,5,Actual,,
P5019,P5019 ‣ Guide Wall - Infra ‣ 0,30,Actual,,
P5019,P5019 ‣ Guide Wall - Infra ‣ 0,38,Actual,,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-7,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P2-A,24
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,1,Actual,P2-A,43
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5007,P5007 ‣ Mobilization ‣ 0,1,Actual,,
P5007,P5007 ‣ Secant Pile ‣ 1,14,Actual,,168
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P1-B,21
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P-3,22
P478,P478 ‣ Secant Pile ‣ 1,6,Actual,,90
P5009,P5009 ‣ C.Piles 1200mm ‣ 0,3,Actual,199-183-202,99
P441,P441 ‣ Guide Wall ‣ 2,31,Actual,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,2,Actual,226-147,93
P5009,P5009 ‣ Caliper Logging Test ‣ 0,1,Actual,0,0
P5023,P5023 ‣ Stone Column ‣ 1,3,Actual,1,27
P5028,P5028 ‣ Vibro Compaction ‣ 0,4,Actual,0,50
P5038,P5038 ‣ Pre-CPT ‣ 0,4,Actual,0,0
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5044,P5044 ‣ Vibro Compaction ‣ 0,19,Actual,0,247
P5035,P5035 ‣ Mobilization ‣ 0,1,Actual,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Actual,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Actual,,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-7,24
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Actual,,54
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,4,Actual,,72
P4110-P,P4110-P ‣ Mobilization ‣ 0,1,Actual,,
P441,P441 ‣ Guide Wall ‣ 1,60,Actual,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,4,Actual,1,86
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,6,Actual,1,129
P5004-72-S,P5004-72-S ‣ Soldier Pile (H. Beams) ‣ 0,11,Actual,,
P5007,P5007 ‣ Capping Beam ‣ 1,20,Actual,,
P5007,P5007 ‣ Secant Pile ‣ 2,7,Actual,,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,ALL,
P5019,P5019 ‣ Mobilization - Infra ‣ 0,1,Actual,,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-7,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-8,50
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-7,24
P478,P478 ‣ Secant Pile ‣ 1,7,Actual,,105
P5003-S,P5003-S ‣ Capping Beam ‣ 1,33,Actual,,
P5003-S,P5003-S ‣ Capping Beam ‣ 2,20,Actual,,
P5009,P5009 ‣ C.Piles 1200mm ‣ 0,3,Actual,215-205-185,99
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-7,47
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,ALL,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,1,Actual,223,33
P5023,P5023 ‣ Stone Column ‣ 1,0,Actual,0,0
P5028,P5028 ‣ Vibro Compaction ‣ 0,12,Actual,0,150
P5038,P5038 ‣ Site Preliminaries -Soil Improvement ‣ 0,1,Actual,,
P5039,P5039 ‣ Pre-CPT ‣ 0,3,Actual,0,0
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,4,Actual,,72
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,6,Actual,1,129
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Actual,,36
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Actual,1,56
P5050,P5050 ‣ Mobilization - Marine ‣ 0,1,Actual,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,5,Actual,1,107.5
P4110,P4110 ‣ Deep Well Installation ‣ 0,1,Actual,1,14
P5004-72-S,P5004-72-S ‣ Soldier Pile (H. Beams) ‣ 0,18,Actual,,
P5007,P5007 ‣ Secant Pile ‣ 2,9,Actual,3,
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,4,Actual,,72
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P441,P441 ‣ Secant Pile ‣ 2,6,Actual,4,72
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,1,Actual,s7,16
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-7,47
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,4,Actual,,72
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P1-B,21
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P-3,22
P5009,P5009 ‣ C.Piles 1200mm ‣ 0,4,Actual,216-201-200-184,132
P5009,P5009 ‣ Plunge Column ‣ 0,2,Actual,8-Jul,47
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,all,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,all,
P5009,P5009 ‣ Plunge Column ‣ 0,1,Actual,5,20
P5023,P5023 ‣ Stone Column ‣ 1,0,Actual,1,0
P5028,P5028 ‣ Vibro Compaction ‣ 0,9,Actual,0,108
P5038,P5038 ‣ Pre-CPT ‣ 0,4,Actual,0,0
P5039,P5039 ‣ Pre-CPT ‣ 0,3,Actual,0,0
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-10,23
P5035,P5035 ‣ Guide Wall ‣ 0,32,Actual,,
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Actual,,54
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,4,Actual,,72
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,6,Actual,0,129
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,6,Actual,0,129
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,6,Actual,0,150.5
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,1,Actual,0,21.5
P486,P486 ‣ Design & Shop Drawings ‣ 0,1,Actual,,
P5004-72-S,P5004-72-S ‣ Soldier Pile (H. Beams) ‣ 0,13,Actual,,
P441,P441 ‣ Secant Pile ‣ 2,8,Actual,4,96
P5009,P5009 ‣ Plunge Column ‣ 0,1,Actual,4,20
P5009,P5009 ‣ Plunge Column ‣ 0,3,Actual,1-2-3-,60
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,3,Actual,h ( 105-107-109 ),16
P5023,P5023 ‣ Stone Column ‣ 1,0,Actual,0,0
P5028,P5028 ‣ Vibro Compaction ‣ 0,16,Actual,0,192
P5038,P5038 ‣ Vibro Compaction ‣ 0,5,Actual,0,55
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,all,
P5009,P5009 ‣ Deep Well Installation ‣ 0,3,Actual,12/13/2014,72
P5035,P5035 ‣ Secant Pile ‣ 0,9,Actual,2,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,7,Actual,0,150.5
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,5,Actual,0,107.5
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,5,Actual,0,107.5
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,6,Actual,0,172
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,6,Actual,0,129
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,8,Actual,s ( 11-9-5-3-89-87 ) & h (107-105 ),16
P5004-72-S,P5004-72-S ‣ Soldier Pile (H. Beams) ‣ 0,12,Actual,,
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,8,Actual,s(7-10-12)--h(99-97-96-101-103),16
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-10,46
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,2,Actual,P-3,44
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,6,Actual,,108
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P1-B,21
P5007,P5007 ‣ Guide Wall ‣ 2,17,Actual,,
P484,P484 ‣ Secant Pile ‣ 3,5,Actual,,66
P5009,P5009 ‣ Caliper Logging Test ‣ 0,9,Actual,027-029-119-065-129-176-056-155-220,0
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,5,Actual,,90
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,5,Actual,,90
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,3,Actual,h(98-100-102),16
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,4,Actual,,72
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-11,49
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-7,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-11,49
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-8,50
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-7,24
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,10,Actual,s86 - h ( 101-99-92-1-3-108-106-104-94 ),16
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,2,Actual,P-8,50
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-11,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-11,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,2,Actual,P1-A,42
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P2-A,23
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,2,Actual,P1-B,42
P441,P441 ‣ Secant Pile ‣ 2,15,Actual,4,180
P5003-S,P5003-S ‣ Strut Work ‣ 1,1,Actual,,
P5028,P5028 ‣ Vibro Compaction ‣ 0,14,Actual,0,168
P5038,P5038 ‣ Vibro Compaction ‣ 0,13,Actual,0,143
P5035,P5035 ‣ Secant Pile ‣ 0,14,Actual,2,140
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,all,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-10,23
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Actual,,54
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,1,Actual,0,21.5
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,8,Actual,0,172.5
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,1,Actual,0,21.5
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Actual,,54
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,8,Actual,0,215
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,2,Actual,0,43
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,1,Actual,1,21.5
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 3,1,Actual,1,21.5
P486,P486 ‣ Guide Wall ‣ 0,32,Actual,6,
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,8,Actual,s(6-13-14-16) & h ( 7-9-88-90 ),16
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-7,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-9,23
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,7,Actual,s 98 - s 100 - s 102 - s 104 - s 106 - s 108 - s 1,16
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,2,Actual,P1-A,42
P5007,P5007 ‣ Secant Pile ‣ 2,6,Actual,,
P441,P441 ‣ Secant Pile ‣ 2,12,Actual,4,144
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-8,50
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,ALL,
P478,P478 ‣ Secant Pile ‣ 2,10,Actual,,150
P5003-S,P5003-S ‣ Capping Beam ‣ 2,37,Actual,,
P5028,P5028 ‣ Vibro Compaction ‣ 0,16,Actual,0,192
P5038,P5038 ‣ Vibro Compaction ‣ 0,5,Actual,0,55
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-9,23
P5038,P5038 ‣ Vibro Compaction ‣ 0,23,Actual,0,253
P5007,P5007 ‣ Secant Pile ‣ 1,10,Actual,,120
P5035,P5035 ‣ Secant Pile ‣ 0,9,Actual,,
P5039,P5039 ‣ Mobilization ‣ 0,1,Actual,0,0
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,6,Actual,s109-s107-s105-s103-s101-s99,16
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,1,Actual,,18
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 1,3,Actual,3,123
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 2,2,Actual,"298,283",82
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,3,Actual,"523,510,456,",132
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Actual,,36
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,ALL,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 2,2,Actual,2,44
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 2,3,Actual,3,123
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 1,3,Actual,3,65
P486,P486 ‣ Mobilization ‣ 0,1,Actual,,
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,8,Actual,s(15-18-20-21-23-25-27-29),16
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-7,47
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-9,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-10,46
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-8,25
P5007,P5007 ‣ Secant Pile ‣ 2,5,Actual,3,
P484,P484 ‣ Secant Pile ‣ 3,5,Actual,,50
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,7,Actual,s(108-106-104-102-100-98-96),16
P5016,P5016 ‣ Survey Works ‣ 0,1,Actual,,
P5037,P5037 ‣ Mobilization Works -Soil Improvement ‣ 0,1,Actual,0,0
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Actual,,54
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,all,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-8,50
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,all,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-11,25
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,3,Actual,"531,471,400",129
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 2,1,Actual,1,41
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,4,Actual,,72
P5007,P5007 ‣ Secant Pile ‣ 1,14,Actual,,168
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,2,Actual,2,44
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,5,Actual,h(10-8-5-89-87 ),16
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-7,47
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,2,Actual,P1-A,42
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P1-B,21
P484,P484 ‣ Mobilization ‣ 0,1,Actual,,
P441,P441 ‣ Secant Pile ‣ 2,5,Actual,4,60
P5003-S,P5003-S ‣ Strut Work ‣ 1,1,Actual,,
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,7,Actual,s( 96-49-89-57-85-3-5 ),16
P478,P478 ‣ Secant Pile ‣ 2,10,Actual,,150
P5016,P5016 ‣ Mobilization ‣ 0,1,Actual,0,0
P5037,P5037 ‣ Vibro Compaction ‣ 0,5,Actual,0,60
P5038,P5038 ‣ Vibro Compaction ‣ 0,21,Actual,0,231
P5044,P5044 ‣ Post-CPT ‣ 0,12,Actual,0,0
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-9,47
P484,P484 ‣ Site Preliminaries ‣ 0,1,Actual,,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-7,24
P5035,P5035 ‣ Secant Pile ‣ 0,8,Actual,,80
P5025-C,P5025-C ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Actual,,54
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,2,Actual,2,86
P5007,P5007 ‣ Secant Pile ‣ 1,14,Actual,,168
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-7,24
P5025-C,P5025-C ‣ Sheet Pile - Infra ‣ Receiving Pit,7,Actual,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 2,3,Actual,"197,149,302",124.5
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,4,Actual,"413,539,562,496",172
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 2,3,Actual,"208,204,261",123
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-10,23
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P1-B,21
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P1-C,22
P5019,P5019 ‣ Secant Piles - Infra ‣ 0,3,Actual,s (2-4-84),16
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-11,25
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,2,Actual,P3,44
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,1,Actual,P2-B,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-9,47
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-8,50
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,1,Actual,P1-B,21
P484,P484 ‣ Secant Pile ‣ 3,7,Actual,,98
P5025-C,P5025-C ‣ Sheet Pile - Infra ‣ Receiving Pit,11,Actual,,
P441,P441 ‣ Secant Pile ‣ 2,3,Actual,3-Jan,36
P5016,P5016 ‣ Soldier Pile (H. Beams) ‣ 0,2,Actual,2-Jan,24
P5028,P5028 ‣ Vibro Compaction ‣ 0,14,Actual,0,175
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,1,Actual,P-7,24
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,3,Actual,P-9,70
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,2,Actual,P1-A,42
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,1,Actual,P3,22
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 2,2,Actual,P-10,46
